Id,CommandeRef,ProduitReference,Quantite,PrixUnitaire
1,1,SODIV-40031,1,282
2,2,SODIV-40132,1,2187
3,2,SODIV-40058,1,2573
4,3,SODIV-40471,1,3911
5,3,SODIV-40437,3,3702
6,4,SODIV-40611,1,3814
7,5,SODIV-40010,1,3253
8,5,SODIV-40227,5,776
9,5,SODIV-40128,10,1107
10,5,SODIV-40660,1,1186
11,6,SODIV-40042,1,1726
12,6,SODIV-40217,3,3850
13,7,SODIV-40629,2,2349
14,7,SODIV-40647,1,3759
15,8,SODIV-40163,1,1348
16,9,SODIV-40101,4,2980
17,9,SODIV-40293,2,3612
18,9,SODIV-40202,3,225
19,9,SODIV-40055,2,1650
20,10,SODIV-40152,1,2937
21,10,SODIV-40429,3,3947
22,10,SODIV-40125,1,3904
23,11,SODIV-40466,1,515
24,12,SODIV-40035,1,1914
25,12,SODIV-40309,3,2906
26,13,SODIV-40601,2,648
27,14,SODIV-40623,3,2861
28,15,SODIV-40208,1,660
29,15,SODIV-40322,1,3976
30,16,SODIV-40478,1,451
31,17,SODIV-40070,1,594
32,18,SODIV-40561,2,2098
33,19,SODIV-40415,1,1225
34,19,SODIV-40201,3,1887
35,19,SODIV-40261,1,269
36,19,SODIV-40604,2,3402
37,20,SODIV-40083,1,2585
38,20,SODIV-40361,1,2140
39,20,SODIV-40502,1,3598
40,20,SODIV-40077,1,3392
41,20,SODIV-40052,3,3709
42,21,SODIV-40582,1,1273
43,21,SODIV-40272,5,2001
44,21,SODIV-40216,10,2881
45,21,SODIV-40565,1,3351
46,22,SODIV-40607,4,1072
47,22,SODIV-40331,10,537
48,22,SODIV-40408,1,238
49,23,SODIV-40493,1,3874
50,24,SODIV-40070,1,594
51,24,SODIV-40310,2,3297
52,24,SODIV-40177,2,1922
53,25,SODIV-40014,1,1243
54,25,SODIV-40251,2,3470
55,25,SODIV-40549,1,3199
56,25,SODIV-40392,4,3659
57,25,SODIV-40637,3,609
58,26,SODIV-40263,1,2653
59,26,SODIV-40226,1,1801
60,26,SODIV-40053,2,3003
61,26,SODIV-40373,2,3797
62,27,SODIV-40382,2,2434
63,27,SODIV-40482,1,604
64,27,SODIV-40644,1,2202
65,28,SODIV-40422,1,2029
66,28,SODIV-40643,1,720
67,29,SODIV-40525,1,3426
68,29,SODIV-40494,1,3178
69,30,SODIV-40603,1,3772
70,30,SODIV-40046,1,2357
71,30,SODIV-40293,3,3612
72,30,SODIV-40432,1,3735
73,31,SODIV-40443,3,1364
74,31,SODIV-40136,2,3422
75,31,SODIV-40666,3,1254
76,31,SODIV-40006,5,1136
77,31,SODIV-40532,1,1243
78,32,SODIV-40505,1,3377
79,33,SODIV-40594,1,2939
80,33,SODIV-40302,2,2580
81,33,SODIV-40466,1,515
82,33,SODIV-40336,2,745
83,34,SODIV-40049,2,933
84,34,SODIV-40236,4,2418
85,35,SODIV-40251,1,3470
86,35,SODIV-40122,1,2794
87,35,SODIV-40412,3,2650
88,36,SODIV-40287,5,1025
89,36,SODIV-40669,1,3445
90,36,SODIV-40318,2,68
91,36,SODIV-40349,1,2238
92,36,SODIV-40238,1,2956
93,37,SODIV-40638,1,1406
94,37,SODIV-40323,2,2665
95,37,SODIV-40065,1,2241
96,38,SODIV-40096,3,3138
97,38,SODIV-40478,1,451
98,38,SODIV-40552,1,3465
99,39,SODIV-40439,1,2618
100,39,SODIV-40406,1,3313
101,39,SODIV-40185,3,2079
102,39,SODIV-40342,1,2805
103,39,SODIV-40315,1,571
104,40,SODIV-40414,4,1290
105,40,SODIV-40166,1,3407
106,40,SODIV-40421,3,2682
107,40,SODIV-40100,1,2886
108,41,SODIV-40634,4,1850
109,41,SODIV-40509,1,704
110,42,SODIV-40097,1,211
111,42,SODIV-40506,2,3931
112,42,SODIV-40380,2,3685
113,43,SODIV-40151,1,2736
114,43,SODIV-40122,1,2794
115,43,SODIV-40307,3,1660
116,44,SODIV-40148,1,2326
117,44,SODIV-40087,1,3409
118,44,SODIV-40009,1,1020
119,45,SODIV-40263,2,2653
120,45,SODIV-40379,5,2650
121,46,SODIV-40261,1,269
122,46,SODIV-40273,1,3059
123,47,SODIV-40619,4,2148
124,47,SODIV-40022,1,2349
125,48,SODIV-40076,4,531
126,49,SODIV-40205,4,3902
127,49,SODIV-40209,1,2926
128,49,SODIV-40396,1,2616
129,50,SODIV-40346,1,2772
130,50,SODIV-40639,1,1121
131,51,SODIV-40583,5,1517
132,52,SODIV-40500,2,2117
133,52,SODIV-40427,5,2725
134,52,SODIV-40458,1,2717
135,52,SODIV-40498,2,3829
136,53,SODIV-40258,1,1293
137,53,SODIV-40624,3,2901
138,54,SODIV-40414,1,1290
139,54,SODIV-40467,1,2390
140,54,SODIV-40077,1,3392
141,54,SODIV-40232,1,2539
142,55,SODIV-40276,3,3256
143,55,SODIV-40196,1,2598
144,55,SODIV-40541,2,3826
145,55,SODIV-40019,4,3724
146,56,SODIV-40460,1,1861
147,56,SODIV-40454,1,182
148,57,SODIV-40396,1,2616
149,57,SODIV-40120,2,2932
150,57,SODIV-40338,1,298
151,57,SODIV-40558,5,2625
152,57,SODIV-40179,3,271
153,58,SODIV-40305,4,705
154,58,SODIV-40552,1,3465
155,58,SODIV-40392,3,3659
156,58,SODIV-40495,1,3260
157,58,SODIV-40610,1,1094
158,59,SODIV-40009,1,1020
159,59,SODIV-40156,1,2119
160,59,SODIV-40611,1,3814
161,60,SODIV-40434,4,416
162,61,SODIV-40360,1,394
163,61,SODIV-40103,1,2827
164,62,SODIV-40053,1,3003
165,63,SODIV-40326,1,278
166,63,SODIV-40374,3,3651
167,63,SODIV-40422,1,2029
168,63,SODIV-40369,1,1963
169,64,SODIV-40039,1,2089
170,65,SODIV-40352,4,1017
171,66,SODIV-40515,5,1917
172,66,SODIV-40117,10,111
173,67,SODIV-40556,1,999
174,67,SODIV-40234,1,1786
175,67,SODIV-40106,1,2064
176,67,SODIV-40605,1,2931
177,67,SODIV-40615,1,3290
178,68,SODIV-40145,4,3595
179,68,SODIV-40290,3,1358
180,69,SODIV-40415,1,1225
181,69,SODIV-40439,1,2618
182,69,SODIV-40258,10,1293
183,70,SODIV-40390,1,2123
184,70,SODIV-40290,2,1358
185,71,SODIV-40196,1,2598
186,71,SODIV-40095,5,3795
187,72,SODIV-40243,2,355
188,72,SODIV-40525,1,3426
189,72,SODIV-40097,4,211
190,73,SODIV-40167,1,887
191,73,SODIV-40536,1,2380
192,74,SODIV-40262,2,3718
193,74,SODIV-40124,1,514
194,74,SODIV-40061,1,1728
195,74,SODIV-40228,1,383
196,75,SODIV-40159,2,210
197,75,SODIV-40377,1,498
198,75,SODIV-40661,1,3554
199,76,SODIV-40666,2,1254
200,76,SODIV-40266,2,1614
201,76,SODIV-40279,1,3702
202,77,SODIV-40030,3,1812
203,77,SODIV-40597,2,2985
204,78,SODIV-40276,5,3256
205,79,SODIV-40501,3,1854
206,79,SODIV-40373,1,3797
207,80,SODIV-40482,1,604
208,80,SODIV-40359,5,3645
209,80,SODIV-40131,1,3528
210,80,SODIV-40612,1,1361
211,81,SODIV-40303,1,3354
212,81,SODIV-40153,1,3202
213,81,SODIV-40581,2,481
214,81,SODIV-40562,3,3751
215,82,SODIV-40383,1,2867
216,82,SODIV-40387,1,2608
217,83,SODIV-40036,1,362
218,83,SODIV-40465,1,3899
219,84,SODIV-40652,10,1618
220,85,SODIV-40254,1,585
221,85,SODIV-40002,5,2059
222,86,SODIV-40480,4,3273
223,86,SODIV-40471,1,3911
224,87,SODIV-40164,1,3494
225,87,SODIV-40359,1,3645
226,87,SODIV-40039,4,2089
227,88,SODIV-40288,2,3051
228,89,SODIV-40541,10,3826
229,89,SODIV-40067,1,1669
230,90,SODIV-40062,10,3038
231,90,SODIV-40069,3,3809
232,90,SODIV-40302,1,2580
233,91,SODIV-40326,2,278
234,91,SODIV-40403,1,3185
235,91,SODIV-40128,1,1107
236,91,SODIV-40219,1,2715
237,92,SODIV-40656,3,1655
238,93,SODIV-40258,1,1293
239,94,SODIV-40066,1,3166
240,94,SODIV-40046,1,2357
241,95,SODIV-40423,1,724
242,95,SODIV-40039,2,2089
243,96,SODIV-40535,4,1215
244,97,SODIV-40174,1,1669
245,97,SODIV-40085,1,3974
246,97,SODIV-40250,1,2108
247,97,SODIV-40044,1,3656
248,98,SODIV-40525,1,3426
249,99,SODIV-40030,5,1812
250,99,SODIV-40057,1,569
251,100,SODIV-40131,4,3528
252,100,SODIV-40231,1,2041
253,101,SODIV-40582,2,1273
254,102,SODIV-40571,2,107
255,103,SODIV-40026,1,2420
256,104,SODIV-40376,2,3540
257,104,SODIV-40617,1,674
258,105,SODIV-40370,1,1638
259,105,SODIV-40404,1,1176
260,106,SODIV-40616,2,3826
261,106,SODIV-40491,2,2506
262,107,SODIV-40228,3,383
263,107,SODIV-40044,2,3656
264,108,SODIV-40165,1,2245
265,108,SODIV-40468,5,3062
266,109,SODIV-40491,3,2506
267,109,SODIV-40163,1,1348
268,109,SODIV-40175,3,1448
269,109,SODIV-40213,1,95
270,110,SODIV-40259,1,1687
271,110,SODIV-40192,1,248
272,111,SODIV-40515,1,1917
273,111,SODIV-40267,1,3444
274,112,SODIV-40105,1,800
275,112,SODIV-40373,1,3797
276,112,SODIV-40116,3,1456
277,112,SODIV-40644,1,2202
278,113,SODIV-40442,1,575
279,113,SODIV-40219,3,2715
280,113,SODIV-40028,1,2227
281,113,SODIV-40110,1,2670
282,114,SODIV-40055,1,1650
283,114,SODIV-40275,1,2153
284,115,SODIV-40164,4,3494
285,115,SODIV-40399,3,3771
286,115,SODIV-40120,5,2932
287,116,SODIV-40207,5,1595
288,116,SODIV-40103,1,2827
289,117,SODIV-40313,1,148
290,117,SODIV-40607,2,1072
291,117,SODIV-40420,1,3358
292,118,SODIV-40006,4,1136
293,118,SODIV-40151,2,2736
294,119,SODIV-40021,1,2741
295,120,SODIV-40525,3,3426
296,121,SODIV-40250,1,2108
297,122,SODIV-40557,5,448
298,122,SODIV-40535,1,1215
299,122,SODIV-40216,2,2881
